id,title,location,salary_min,category,description,created,anio
5608131002,sr software engineer,México,1465,it jobs,"about mobilisights mobilisights, part of the stellantis group, is a global data business unit on a mission to unlock the power of connected car data. with access to one of the largest fleets of connected vehicles worldwide, we create innovative data-driven services that empower smarter mobility, improve safety, and accelerate sustainable solutions. we process large-scale, real-time data flows from millions of connected vehicles. this is a unique chance to work at the intersection of iot, automo…",2026-01-31t21:36:03z,2026
5685693080,core support - sr. full stack,México,1985,it jobs,"responsibilities triage & incident ownership perform rapid intake, triage, and prioritization of alerts, tickets, and incidents. act as incident owner during high-severity events, ensuring clear communication, timely updates, and swift restoration of service. maintain accurate, real-time incident timelines and post-incident documentation. troubleshooting & restoration execute root-cause isolation across application, middleware, apis, data, and infrastructure layers. use observability/monitoring…",2026-04-01t08:40:23z,2026
5685692958,korber support/dev engineer,México,1106,it jobs,"key responsibilities: provide ongoing support for körber wms applications, including issue resolution, troubleshooting, and performance optimization. analyze and resolve production issues, ensuring minimal downtime and business impact. perform regular system maintenance, upgrades, and patching activities. customize and extend körber applications based on business requirements. develop and maintain scripts or custom code to enhance system functionality. collaborate with cross-functional teams (b…",2026-04-01t08:40:21z,2026
5685701356,analista de datos y bi,México,1892,it jobs,"seniority objetivo: 2–3 años (cdmx, presencial) misión del rol operar y evolucionar la capa de datos y bi enfocada en operación, compras y comercial (en ese orden), asegurando calidad, consistencia y disponibilidad para habilitar decisiones oportunas. responsabilidades clave operación diaria de datasets, cargas y pipelines (monitoreo, corrección de fallos, pequeñas mejoras). desarrollo y mantenimiento de dashboards y reportes (prioridad: operación → compras → comercial). sql avanzado para consu…",2026-04-01t08:41:35z,2026
5685698580,investment operations analyst – fund accounting & nav,México,2186,it jobs,"join our global investment operations team supporting fund accounting, nav-related activities and the operational management of investment funds across global portfolios. this is an opportunity for a junior-level professional to gain hands-on exposure to fund operations, valuation controls and third-party fund administrators within a global investment environment. the role the role focuses on fund accounting and nav-related processes, including the review, validation and operational oversight o…",2026-04-01t08:41:04z,2026
5685694893,product specialist,México,2234,it jobs,"product specialist en orion innovation estamos en búsqueda de un product specialist que quiera desarrollarse en el área de producto digital, colaborando en proyectos con un importante cliente del sector aeronáutico en méxico. es una excelente oportunidad para perfiles con experiencia inicial que buscan crecer hacia roles de product owner. requisitos: • 2 a 3 años de experiencia en roles como product specialist, business analyst, product analyst o afines • experiencia trabajando con backlog, use…",2026-04-01t08:40:40z,2026
5687246454,managing director,"Monterrey, Nuevo León, México",1987,it jobs,"about the role we are seeking a senior, entrepreneurial leader to head operations and business expansion initiatives in mexico and the broader latam region. this role will have full responsibility for driving strategic execution, operational excellence, and commercial growth across multiple business lines, including joint ventures and regional expansion efforts. reporting directly to executive leadership, the managing director will play a critical role in scaling operations, building long-term …",2026-04-02t04:48:14z,2026
5688190066,pricing desk expert,México,1876,it jobs,"as a pricing desk expert, you will be a strategic partner at the heart of iron mountain’s commercial success. you will move beyond simple data entry to provide high-level pricing guidance and deal structuring for our most strategic global accounts. this is a high-visibility role where your analytical insights will directly influence revenue growth and global process transformation. your impact strategic advisory: act as a global subject matter expert, providing ""price-to-win"" strategies and dea…",2026-04-02t20:55:40z,2026
5685697052,tester (can/lin) - jr,México,2064,it jobs,"alten méxico es una destacada filial del grupo internacional alten , especializada en consultoría en ingeniería y tecnología. participamos en diversos sectores, incluyendo automotriz, aeroespacial, energía, telecomunicaciones y soluciones de ti , con un fuerte enfoque en la innovación y el alto desempeño de calidad. estamos buscando ampliar nuestro talentoso equipo con un tester junior que tenga ganas de aprender y contribuir en nuestros proyectos. como tester junior en alten méxico , participa…",2026-04-01t08:40:53z,2026
5685699240,noc monitoring engineer,"Zapopan, Jalisco, México",1348,it jobs,"location: zapopan, jalisco  company: hcltech  working model: 100% onsite | rotational shifts | 24/7 operation (2 days off per week)  language requirement: english c1 (resume required in english)  about hcltech hcltech is a global technology company, home to more than 223,000 people across 60 countries , delivering industry‑leading capabilities centered around digital, engineering, cloud, and ai . powered by a broad portfolio of technology services and products, we work with clients across all …",2026-04-01t08:41:08z,2026
