EstudianteID,Nombre,FechaIngreso,Genero,Ciudad,anio
1,Estudiante_1,2022-12-18,f,Sucre,2022
2,Estudiante_2,2022-05-27,f,Santa Cruz de la Sierra,2022
3,Estudiante_3,2020-08-02,m,Santa Cruz de la Sierra,2020
4,Estudiante_4,2021-02-01,f,La Paz,2021
5,Estudiante_5,2022-08-12,f,Santa Cruz de la Sierra,2022
6,Estudiante_6,2023-06-16,m,Cochabamba,2023
7,Estudiante_7,2021-08-27,f,Santa Cruz de la Sierra,2021
8,Estudiante_8,2020-12-01,f,Tarija,2020
9,Estudiante_9,2020-02-07,m,La Paz,2020
10,Estudiante_10,2021-03-28,m,Santa Cruz de la Sierra,2021
11,Estudiante_11,2023-02-24,m,La Paz,2023
12,Estudiante_12,2021-08-25,m,La Paz,2021
13,Estudiante_13,2023-10-21,f,Cochabamba,2023
14,Estudiante_14,2020-07-04,f,Tarija,2020
15,Estudiante_15,2022-01-29,m,Santa Cruz de la Sierra,2022
16,Estudiante_16,2020-07-26,m,La Paz,2020
17,Estudiante_17,2022-07-27,m,Santa Cruz de la Sierra,2022
18,Estudiante_18,2020-08-05,f,La Paz,2020
19,Estudiante_19,2022-10-22,f,Santa Cruz de la Sierra,2022
20,Estudiante_20,2023-02-20,f,Sucre,2023
21,Estudiante_21,2021-05-21,m,La Paz,2021
22,Estudiante_22,2023-11-05,m,Cochabamba,2023
23,Estudiante_23,2020-09-14,f,Tarija,2020
24,Estudiante_24,2021-03-08,m,La Paz,2021
25,Estudiante_25,2022-04-30,f,Sucre,2022
26,Estudiante_26,2022-03-18,f,Cochabamba,2022
27,Estudiante_27,2021-07-19,m,La Paz,2021
28,Estudiante_28,2023-01-29,m,La Paz,2023
29,Estudiante_29,2023-12-21,f,Sucre,2023
30,Estudiante_30,2021-07-10,f,Santa Cruz de la Sierra,2021
31,Estudiante_31,2023-07-29,m,La Paz,2023
32,Estudiante_32,2023-03-26,m,La Paz,2023
33,Estudiante_33,2022-03-30,m,Santa Cruz de la Sierra,2022
34,Estudiante_34,2021-10-01,f,La Paz,2021
35,Estudiante_35,2022-09-18,f,Santa Cruz de la Sierra,2022
36,Estudiante_36,2022-05-02,f,Cochabamba,2022
37,Estudiante_37,2023-03-21,f,Sucre,2023
