value,source_id,notes_ids,iso3,dim_208,dim_29117,dim_28619
0.97,1053.0,5953,ATG,214,29161,28620
0.88,1053.0,6048,ATG,214,29165,28620
0.91,1053.0,6087,ATG,214,29166,28620
0.92,1053.0,6088,ATG,214,29167,28620
0.88,1053.0,5975,ATG,214,29168,28620
0.92,1053.0,6083,ATG,214,29169,28620
0.92,1053.0,6049,ATG,214,29170,28620
0.87,1053.0,6050,ATG,214,29171,28620
0.86,1053.0,6051,ATG,214,29172,28620
0.84,1053.0,5998,ATG,214,29173,28620
0.91,1053.0,6053,ATG,214,29174,28620
0.92,1053.0,6026,ATG,214,29175,28620
93.6,992.0,6091,ARG,216,29170,28620
97.3,992.0,6091,ARG,216,29171,28620
101.4,992.0,6091,ARG,216,29172,28620
95.2,992.0,6091,ARG,216,29173,28620
104,992.0,6091,ARG,216,29174,28620
98,992.0,6091,ARG,216,29175,28620
96,992.0,6091,ARG,216,29176,28620
97.7,992.0,6091,ARG,216,29177,28620
97.1,992.0,6091,ARG,216,29178,28620
99.4,992.0,6091,ARG,216,29179,28620
93.5,1055.0,,BLZ,220,29160,28620
94.3,1055.0,,BLZ,220,29170,28620
95.9,1055.0,,BLZ,220,29173,28620
6.6,1056.0,6093,BOL,221,29162,28620
2.8,1056.0,6093,BOL,221,29171,28620
1.9,1056.0,6093,BOL,221,29172,28620
2.3,1056.0,6093,BOL,221,29173,28620
2.8,1056.0,6093,BOL,221,29174,28620
0.3,1056.0,6093,BOL,221,29175,28620
-0.6,1056.0,6093,BOL,221,29176,28620
94.3,996.0,,BRA,222,29168,28620
93.8,996.0,,BRA,222,29178,28620
1,1059.0,,CHL,224,29160,28620
0.97,1059.0,,CHL,224,29170,28620
0.94,1059.0,,CHL,224,29176,28620
0.95,1059.0,,CHL,224,29179,28620
0.94,1062.0,,CRI,226,29167,28620
0.94,1062.0,,CRI,226,29168,28620
0.94,1062.0,,CRI,226,29169,28620
0.94,1062.0,,CRI,226,29170,28620
0.93,1062.0,,CRI,226,29171,28620
0.93,1062.0,,CRI,226,29172,28620
0.93,1062.0,,CRI,226,29173,28620
0.93,1062.0,,CRI,226,29174,28620
0.94,1062.0,,CRI,226,29175,28620
0.94,1062.0,,CRI,226,29176,28620
0.94,1062.0,,CRI,226,29177,28620
0.94,1062.0,,CRI,226,29178,28620
0.94,1062.0,,CRI,226,29179,28620
92.5,1066.0,,CUB,249,29160,28620
94.9,1066.0,,CUB,249,29165,28620
94.6,1066.0,,CUB,249,29170,28620
94.7,1066.0,,CUB,249,29171,28620
94.4,1066.0,,CUB,249,29172,28620
93.9,1066.0,,CUB,249,29173,28620
94.2,1066.0,,CUB,249,29174,28620
94.8,1066.0,,CUB,249,29175,28620
94.7,1066.0,,CUB,249,29176,28620
95.1,1066.0,,CUB,249,29177,28620
95.2,1066.0,,CUB,249,29178,28620
0.93,1068.0,6049,DMA,228,29170,28620
0.92,1068.0,6050,DMA,228,29171,28620
0.94,1068.0,6051,DMA,228,29172,28620
100.7,,,SLV,230,29161,28620
101.5,,,SLV,230,29177,28620
0.84,1101.0,,GTM,235,29165,28620
0.88,1101.0,,GTM,235,29170,28620
0.91,1101.0,,GTM,235,29175,28620
0.93,1101.0,,GTM,235,29179,28620
0.97,1077.0,,HND,239,29160,28620
